Unnamed: 0,음식이름,음식재료,음식 이미지
0,시금치 계란 볶음 레시피 다이어트 반찬,"시금치, 계란, 버터, 다진 마늘, 소금, 올리브유, 소금",https://recipe1.ezmember.co.kr/cache/recipe/2024/01/15/539c7609af6d9b9c3bac23ac745db9951.jpg
3,쪽파계란말이 만들기-딸에게#,"계란, 미림, 참치액, 쪽파, 기름",https://recipe1.ezmember.co.kr/cache/recipe/2022/05/29/1bad148c152573a6aa41b74041da3faf1.jpg
9,계란 당면만두 아이들 반찬으로 좋아요,"계란, 당면, 당근, 양파, 쪽파, 청양고추, 간장, 설탕, 참기름",https://recipe1.ezmember.co.kr/cache/recipe/2021/09/29/21da66e7d441c9ca1ef65a266dd0b5801.jpg
10,쉽고간단한 시금치양파계란볶음!,"시금치, 양파, 계란, 소금, 올리브유, 통깨",https://recipe1.ezmember.co.kr/cache/recipe/2019/12/27/258f7b445277ce15104c5a59ca2563501.jpg
14,맑은 감자계란국 끓이는법 아기계란국,"감자, 계란, 대파, 참치액, 국간장, 소금, 육수",https://recipe1.ezmember.co.kr/cache/recipe/2023/12/02/7bb2e3be43c71360413c99b81082489f1.jpg
19,고소함이 남다른 백종원 '들기름계란후라이'초간단 레시피,"계란, 들기름, 대파, 국간장, 통깨",https://recipe1.ezmember.co.kr/cache/recipe/2018/10/21/908b60f6bd193e12eef66238ec166a5f1.jpg
21,팽이버섯 파 계란국 레시피,"계란, 팽이버섯, 국물용 멸치, 파, 후추, 소금, 국간장, 물",https://recipe1.ezmember.co.kr/cache/recipe/2023/09/06/c26e1a5382b98c3c17df1f318795549c1.jpg
24,게살 텐신항:중국식?일본식? 어쨌든 초간단! 계란덮밥,"밥, 물, 양조간장, 스톡                                                                                이나 굴소스, 맛술, 전분, 식초, 계란, 크래미맛살, 다진파, 소금, 식용유",https://recipe1.ezmember.co.kr/cache/recipe/2015/12/08/4c0e6eef4d85dde6b34a5d1228cd09961.jpg
25,깻잎 계란말이 만드는 법,"깻잎, 당근, 계란, 소금, 식용유",https://recipe1.ezmember.co.kr/cache/recipe/2024/01/24/57fdc7ec08a91cf6098254480c14bb361.jpg
27,"[핑거푸드] 다이어트에도 좋은 ""파프리카 계란찜""♪","계란, 파프리카 빨강, 파프리카 노랑, 애호박 다진 것, 다진당근, 대파 다진 것, 소금",https://recipe1.ezmember.co.kr/cache/recipe/2019/01/19/77d4cf5abc30d38cbd02da1ead39d1301.jpg
29,계란덮밥- 아이가 좋아하는 연두부와 달걀의 만남 부드러운 계란덮밥,"계란, 연두부, 치즈, 소금, 들기름, 후추",https://recipe1.ezmember.co.kr/cache/recipe/2016/08/27/3e0153c5c8f8ca8d1cc234290f03474b1.jpg
